episode,episode_return,episode_score,best_score,time_elapsed_s,val_mean_score,val_best_score
1,3.017974511044997,56.920545948040626,56.920545948040626,0,,
2,-18.621913769325502,35.28769992040816,56.920545948040626,0,,
3,7.038437093667948,60.948050783401605,60.948050783401605,0,,
4,-4.365310616177361,49.5443030735563,60.948050783401605,0,,
5,-15.773523927476717,38.136089762256944,60.948050783401605,0,,
6,4.701525834520567,58.61113952425423,60.948050783401605,0,,
7,0.04659980703762301,53.956213496771284,60.948050783401605,0,,
8,2.834719679142168,56.74433336887583,60.948050783401605,0,,
9,10.482890932731877,64.39250462246554,64.39250462246554,0,,
10,-11.00971792402759,42.89989576570607,64.39250462246554,1,,
11,-17.667815669461646,32.934755767533986,64.39250462246554,1,,
12,-17.2969803090052,36.61263338072846,64.39250462246554,1,,
13,7.9370829113666375,61.8466966011003,64.39250462246554,1,,
14,1.0621467248858707,54.97176041461953,64.39250462246554,1,,
15,-18.241518076090998,35.66809561364266,64.39250462246554,1,,
16,-16.128721579273304,37.78089211046036,64.39250462246554,1,,
17,-9.202351746734486,44.707261942999175,64.39250462246554,1,,
18,-19.085913280301142,34.82370040943252,64.39250462246554,1,,
19,-10.27226840339911,43.63734528633455,64.39250462246554,1,,
20,-3.5858002167525456,50.323813472981115,64.39250462246554,1,,
21,-11.351763249234367,54.051459695061524,64.39250462246554,2,,
22,1.624530586774931,55.53414427650859,64.39250462246554,2,,
23,10.895319834553192,64.80493352428685,64.80493352428685,2,,
24,-4.6504101907845055,49.259203498949155,64.80493352428685,2,,
25,-1.5223779313946437,52.38723575833902,64.80493352428685,2,,
26,-17.01123550468261,36.89837818505105,64.80493352428685,2,,
27,-1.422855421452077,52.486758268281584,64.80493352428685,2,,
28,-25.23091269332607,28.678700996407592,64.80493352428685,2,,
29,-26.264415032073664,27.645198657659996,64.80493352428685,2,,
30,-5.392424984949642,48.51718870478402,64.80493352428685,2,,
31,-29.78803873960647,36.90585324929324,64.80493352428685,2,,
32,20.476618264733162,74.38623195446682,74.38623195446682,3,,
33,-0.5536129456376315,53.35600074409603,74.38623195446682,3,,
34,16.80240189918841,70.71201558892207,74.38623195446682,3,,
35,-25.755068087141773,28.154545602591888,74.38623195446682,3,,
36,-1.9196014234048562,51.990012266328804,74.38623195446682,3,,
37,-26.871831337220126,27.037782352513535,74.38623195446682,3,,
38,0.19261537030286036,54.10222906003652,74.38623195446682,3,,
39,-4.0620132580779895,49.84760043165567,74.38623195446682,3,,
40,-1.834069914184525,52.075543775549136,74.38623195446682,3,,
41,-13.827656844971003,40.08195684476266,74.38623195446682,3,,
42,-24.124557497768837,29.785056191964824,74.38623195446682,3,,
43,2.2394001786083706,56.14901386834203,74.38623195446682,4,,
44,-23.059747392688756,30.849866297044905,74.38623195446682,4,,
45,14.204924742330832,68.11453843206449,74.38623195446682,4,,
46,20.174538367960352,74.08415205769401,74.38623195446682,4,,
47,7.223908995036304,61.133522684769964,74.38623195446682,4,,
48,-22.971532524585413,30.938081165148247,74.38623195446682,4,,
49,1.3607772445394701,55.27039093427313,74.38623195446682,4,,
50,1.7955518488433952,55.705165538577056,74.38623195446682,4,,
51,9.04356659637962,65.77168530175513,74.38623195446682,4,,
52,-4.306452855727855,49.603160834005806,74.38623195446682,4,,
53,5.483577494477942,59.3931911842116,74.38623195446682,5,,
54,-4.228617773720053,49.68099591601361,74.38623195446682,5,,
55,2.713653941801084,56.623267631534745,74.38623195446682,5,,
56,-21.860356022415417,32.049257667318244,74.38623195446682,5,,
57,8.345651123336225,62.255264813069886,74.38623195446682,5,,
58,12.958718492981731,66.86833218271539,74.38623195446682,5,,
59,-17.76663730164217,36.14297638809149,74.38623195446682,5,,
60,7.212888314756597,61.12250200449026,74.38623195446682,5,,
61,2.8519274970015047,55.56947972643762,74.38623195446682,5,,
62,-19.349049870436957,34.5605638192967,74.38623195446682,5,,
63,1.0060468933949949,54.915660583128656,74.38623195446682,5,,
64,4.578173749417303,58.487787439150964,74.38623195446682,6,,
65,8.882522132494913,62.79213582222857,74.38623195446682,6,,
66,-0.03087523006151116,53.87873845967215,74.38623195446682,6,,
67,-20.63037534739938,33.27923834233428,74.38623195446682,6,,
68,9.08119113016754,62.9908048199012,74.38623195446682,6,,
69,0.1179824783724257,54.027596168106086,74.38623195446682,6,,
70,14.372557556930047,68.28217124666371,74.38623195446682,6,,
71,-8.629147378295016,45.090892166464144,74.38623195446682,6,,
72,-16.256585334644633,37.65302835508903,74.38623195446682,6,,
73,16.81417246634321,70.72378615607687,74.38623195446682,6,,
74,6.473498484118778,60.38311217385244,74.38623195446682,6,,
75,-17.045354474418474,36.86425921531519,74.38623195446682,7,,
76,-22.7793106833559,31.130303006377762,74.38623195446682,7,,
77,-14.74301104060548,39.16660264912818,74.38623195446682,7,,
78,7.9671383900771175,61.87675207981078,74.38623195446682,7,,
79,3.150296986974624,57.059910676708284,74.38623195446682,7,,
80,-16.256604483236785,37.653009206496876,74.38623195446682,7,,
81,3.180024458041494,53.70503464192373,74.38623195446682,7,,
82,-25.947815280418567,27.961798409315094,74.38623195446682,7,,
83,-7.920230310908515,45.989383378825146,74.38623195446682,7,,
84,1.1778620647254456,55.087475754459106,74.38623195446682,7,,
